iteration,flood_conns,flood_attempts,auth_packets_sent,auth_packets_blocked,conns_rejected,legit_latency_ms,legit_success,cpu_before,cpu_after,mem_kb
1,10,8484,500,500,8475,1.317,1,0.0,0.0,3024
2,10,8514,500,500,8505,1.198,1,0.0,0.0,3088
3,10,8502,500,500,8493,0.691,1,0.0,0.0,3088
4,10,8527,500,500,8518,1.186,1,0.0,0.0,3088
5,10,8496,500,500,8487,1.293,1,0.0,0.0,3088
6,10,8532,500,500,8523,1.208,1,0.0,0.0,3088
7,10,8489,500,500,8480,1.312,1,0.0,0.0,3088
8,10,8566,500,500,8557,0.791,1,0.0,0.0,3088
9,10,8517,500,500,8508,1.255,1,0.0,0.0,3088
10,10,8577,500,500,8568,1.359,1,0.0,0.0,3088
