iteration,flood_conns,flood_attempts,auth_packets_sent,legit_latency_ms,legit_success,cpu_before,cpu_after,mem_kb
1,3283,3283,149220,13.316,1,0.0,73.0,8260
2,3389,3389,153890,9.194,1,63.5,73.0,8320
3,3312,3312,145977,8.109,1,67.9,73.0,8320
4,3319,3319,147234,9.187,1,69.5,73.0,8320
5,3308,3308,146823,7.584,1,70.3,73.0,8320
6,3406,3406,149945,9.106,1,70.8,73.0,8320
7,3364,3364,150625,8.662,1,71.2,73.0,8320
8,3359,3359,150730,16.882,1,71.5,73.0,8320
9,3340,3340,149403,9.724,1,71.6,73.0,8320
10,3309,3309,150307,7.515,1,71.8,73.0,8320
