iteration,handshake_ms,cpu_before,cpu_after,mem_kb
1,3.628,0.0,0.0,7992
2,2.265,0.0,0.0,8004
3,2.320,0.4,0.3,8008
4,1.189,0.3,0.3,8008
5,2.339,0.2,0.2,8012
6,1.411,0.2,0.2,8012
7,1.457,0.1,0.1,8012
8,1.367,0.1,0.1,8012
9,2.356,0.3,0.3,8012
10,2.428,0.2,0.2,8016
11,2.266,0.2,0.2,8016
12,1.207,0.2,0.2,8016
13,1.264,0.2,0.2,8016
14,2.222,0.3,0.3,8016
15,2.218,0.2,0.2,8076
16,1.195,0.2,0.2,8076
17,2.232,0.2,0.2,8076
18,2.462,0.2,0.2,8076
19,2.261,0.2,0.2,8076
20,1.265,0.2,0.2,8076
21,2.416,0.2,0.2,8076
22,2.205,0.2,0.2,8076
23,1.923,0.2,0.2,8076
24,1.191,0.2,0.2,8076
25,1.231,0.2,0.2,8076
26,1.182,0.2,0.2,8076
27,2.222,0.2,0.2,8076
28,1.132,0.2,0.2,8076
29,1.230,0.2,0.2,8076
30,2.248,0.2,0.2,8076
31,2.727,0.2,0.2,8076
32,1.150,0.2,0.2,8076
33,1.464,0.2,0.2,8076
34,2.486,0.2,0.2,8076
35,2.303,0.2,0.2,8076
36,2.516,0.2,0.2,8076
37,2.497,0.2,0.2,8076
38,2.532,0.2,0.2,8076
39,2.191,0.2,0.2,8076
40,2.223,0.2,0.2,8076
41,2.511,0.2,0.2,8076
42,2.232,0.2,0.2,8076
43,2.294,0.2,0.2,8076
44,1.228,0.2,0.2,8076
45,2.192,0.2,0.2,8076
46,1.133,0.2,0.2,8076
47,1.286,0.2,0.2,8076
48,1.194,0.2,0.2,8076
49,1.132,0.2,0.2,8076
50,2.266,0.2,0.2,8076
