iteration,handshake_ms,cpu_before,cpu_after,mem_kb
1,1.541,0.1,0.1,8076
2,2.407,0.1,0.1,8076
3,2.268,0.1,0.1,8076
4,2.325,0.1,0.1,8076
5,1.208,0.1,0.1,8076
6,3.129,0.1,0.1,8076
7,2.220,0.1,0.1,8076
8,2.438,0.1,0.1,8076
9,2.242,0.1,0.1,8076
10,2.054,0.1,0.1,8076
11,2.254,0.1,0.1,8076
12,2.305,0.1,0.1,8076
13,1.126,0.1,0.1,8076
14,2.321,0.1,0.1,8076
15,3.310,0.2,0.2,8076
16,1.451,0.2,0.2,8076
17,1.233,0.2,0.2,8076
18,1.569,0.2,0.2,8076
19,1.272,0.2,0.2,8076
20,2.504,0.2,0.2,8076
21,1.933,0.2,0.2,8076
22,3.423,0.2,0.2,8076
23,2.169,0.2,0.2,8076
24,1.231,0.2,0.2,8076
25,2.180,0.2,0.2,8076
26,2.143,0.2,0.2,8076
27,1.132,0.2,0.2,8076
28,2.656,0.2,0.2,8076
29,2.211,0.2,0.2,8076
30,2.268,0.2,0.2,8076
31,2.578,0.2,0.2,8076
32,2.174,0.2,0.2,8076
33,2.172,0.2,0.2,8076
34,2.206,0.2,0.2,8076
35,2.272,0.2,0.2,8076
36,2.636,0.2,0.2,8076
37,1.230,0.2,0.2,8076
38,1.313,0.2,0.2,8076
39,1.154,0.2,0.2,8076
40,2.441,0.2,0.2,8076
41,2.264,0.2,0.2,8076
42,2.226,0.2,0.2,8076
43,2.179,0.2,0.2,8076
44,2.309,0.2,0.2,8076
45,2.450,0.2,0.2,8076
46,1.155,0.2,0.2,8076
47,3.384,0.2,0.2,8076
48,2.249,0.2,0.2,8076
49,1.909,0.2,0.2,8076
50,2.197,0.2,0.2,8076
