elapsed_sec,handshake_ms,cpu_percent,mem_kb
0,1.287,0.3,19496
1,3.128,0.3,19496
2,3.587,0.3,19496
3,3.603,0.3,19496
4,4.372,0.3,19496
5,3.912,0.3,19496
6,3.415,0.3,19496
7,3.080,0.3,19496
8,2.038,0.3,19496
9,2.475,0.3,19496
10,3.623,0.3,19496
11,3.575,0.3,19496
12,3.707,0.3,19496
13,4.447,0.3,19496
14,3.954,0.3,19496
15,3.501,0.3,19496
16,2.800,0.3,19496
17,2.613,0.3,19496
18,2.623,0.3,19496
19,3.494,0.3,19496
20,3.591,0.3,19496
21,3.087,0.3,19496
22,1.182,0.3,19496
23,3.772,0.3,19496
24,3.885,0.3,19496
25,3.403,0.3,19496
26,3.959,0.3,19496
27,1.799,0.3,19496
28,2.643,0.3,19496
29,3.637,0.3,19496
30,3.966,0.3,19496
31,3.656,0.3,19496
32,3.855,0.3,19496
33,3.542,0.3,19496
35,2.367,0.3,19496
36,2.222,0.3,19496
37,3.511,0.3,19496
38,4.589,0.3,19496
39,4.081,0.3,19496
40,3.640,0.3,19496
41,2.507,0.3,19496
42,2.964,0.3,19496
43,3.576,0.3,19496
44,3.484,0.3,19496
45,3.512,0.3,19496
46,4.677,0.3,19496
47,1.986,0.3,19496
48,3.775,0.3,19496
49,3.403,0.3,19496
50,2.302,0.3,19496
51,3.769,0.3,19496
52,4.611,0.3,19496
53,4.780,0.3,19496
54,3.658,0.3,19496
55,3.669,0.3,19496
56,4.054,0.3,19496
57,3.666,0.3,19496
58,3.972,0.3,19496
59,3.225,0.3,19496
