iteration,handshake_ms,cpu_before,cpu_after,mem_kb
1,2.643,,1.4,36492
2,2.520,,1.4,36492
3,2.670,,1.4,36492
4,3.572,,1.4,36492
5,2.757,,1.4,36492
6,1.420,,1.4,36492
7,2.681,,1.4,36492
8,2.585,,1.4,36492
9,1.635,,1.4,36492
10,2.638,,1.4,36492
11,2.690,,1.4,36492
12,2.676,,1.4,36492
13,3.655,,1.3,36492
14,2.714,,1.3,36492
15,2.565,,1.3,36492
16,2.645,,1.3,36492
17,2.735,,1.3,36492
18,1.519,,1.3,36492
19,2.642,,1.3,36492
20,2.881,,1.3,36492
21,2.743,,1.3,36492
22,2.794,,1.3,36492
23,1.600,,1.3,36492
24,2.826,,1.3,36492
25,2.680,,1.3,36492
26,2.805,,1.3,36492
27,1.645,,1.3,36492
28,1.432,,1.3,36492
29,1.448,,1.3,36492
30,3.157,,1.3,36492
31,2.693,,1.3,36492
32,2.590,,1.3,36492
33,2.543,,1.3,36492
34,2.683,,1.3,36492
35,1.411,,1.3,36492
36,2.670,,1.3,36492
37,2.525,,1.3,36492
38,1.646,,1.3,36492
39,2.657,,1.3,36492
40,2.662,,1.3,36492
41,2.766,,1.3,36492
42,2.580,,1.3,36492
43,2.577,,1.3,36492
44,2.622,,1.3,36492
45,3.486,,1.3,36492
46,2.744,,1.3,36492
47,3.025,,1.3,36492
48,2.816,,1.3,36492
49,2.750,,1.3,36492
50,1.515,,1.3,36492
