method,iteration,handshake_ms,mem_kb
cert_standard,1,0.924,8012
cert_standard,2,2.141,8012
cert_standard,3,1.107,8012
cert_standard,4,1.651,8012
cert_standard,5,1.516,8016
cert_standard,6,2.017,8016
cert_standard,7,2.134,8016
cert_standard,8,2.149,8016
cert_standard,9,2.261,8016
cert_standard,10,2.131,8016
cert_standard,11,3.214,8016
cert_standard,12,2.114,8016
cert_standard,13,3.707,8016
cert_standard,14,3.153,8016
cert_standard,15,3.118,8016
cert_standard,16,2.066,8016
cert_standard,17,2.126,8016
cert_standard,18,2.072,8016
cert_standard,19,3.122,8016
cert_standard,20,3.112,8016
cert_standard,21,3.213,8016
cert_standard,22,3.234,8016
cert_standard,23,2.130,8016
cert_standard,24,2.048,8016
cert_standard,25,3.173,8016
cert_standard,26,2.312,8016
cert_standard,27,2.097,8016
cert_standard,28,3.432,8016
cert_standard,29,3.129,8016
cert_standard,30,2.053,8016
cert_standard,31,3.019,8016
cert_standard,32,2.974,8016
cert_standard,33,2.002,8016
cert_standard,34,2.692,8016
cert_standard,35,3.197,8016
cert_standard,36,2.069,8016
cert_standard,37,1.400,8016
cert_standard,38,1.057,8016
cert_standard,39,1.074,8016
cert_standard,40,1.719,8016
cert_standard,41,2.130,8016
cert_standard,42,2.097,8016
cert_standard,43,2.120,8016
cert_standard,44,2.077,8016
cert_standard,45,2.858,8016
cert_standard,46,3.010,8016
cert_standard,47,3.309,8016
cert_standard,48,2.178,8016
cert_standard,49,2.072,8016
cert_standard,50,2.422,8016
psk_standard,1,5.863,7444
psk_standard,2,6.060,7444
psk_standard,3,5.899,7444
psk_standard,4,5.128,7444
psk_standard,5,3.115,7444
psk_standard,6,2.977,7444
psk_standard,7,6.097,7444
psk_standard,8,5.748,7444
psk_standard,9,8.655,7444
psk_standard,10,8.759,7444
psk_standard,11,8.836,7444
psk_standard,12,5.603,7444
psk_standard,13,8.926,7444
psk_standard,14,5.647,7444
psk_standard,15,8.863,7444
psk_standard,16,5.762,7444
psk_standard,17,5.707,7444
psk_standard,18,8.341,7448
psk_standard,19,8.539,7448
psk_standard,20,8.733,7448
psk_standard,21,5.814,7448
psk_standard,22,8.772,7448
psk_standard,23,5.773,7448
psk_standard,24,5.637,7448
psk_standard,25,5.516,7448
psk_standard,26,6.081,7448
psk_standard,27,9.207,7448
psk_standard,28,6.123,7448
psk_standard,29,6.079,7448
psk_standard,30,5.892,7448
psk_standard,31,8.783,7448
psk_standard,32,5.922,7448
psk_standard,33,6.113,7448
psk_standard,34,9.659,7448
psk_standard,35,9.659,7448
psk_standard,36,3.082,7448
psk_standard,37,2.899,7448
psk_standard,38,5.877,7448
psk_standard,39,2.929,7448
psk_standard,40,3.097,7448
psk_standard,41,3.096,7448
psk_standard,42,5.720,7448
psk_standard,43,8.733,7448
psk_standard,44,5.991,7448
psk_standard,45,9.912,7448
psk_standard,46,3.067,7448
psk_standard,47,7.852,7448
psk_standard,48,6.225,7448
psk_standard,49,6.167,7448
