iteration,handshake_ms,cpu_before,cpu_after,mem_kb
1,5.222,0.0,0.0,7476
2,4.324,0.4,0.3,7488
3,3.108,0.2,0.2,7488
4,6.602,0.3,0.3,7492
5,3.270,0.3,0.3,7492
6,4.006,0.3,0.3,7492
7,5.013,0.3,0.3,7492
8,6.734,0.3,0.3,7552
9,7.707,0.4,0.4,7552
10,6.077,0.4,0.4,7552
11,5.863,0.4,0.4,7552
12,5.350,0.4,0.4,7552
13,3.181,0.5,0.5,7552
14,4.970,0.4,0.4,7552
15,4.943,0.4,0.4,7552
16,5.029,0.5,0.5,7552
17,5.939,0.5,0.5,7552
18,5.291,0.5,0.5,7552
19,6.329,0.5,0.5,7552
20,6.026,0.5,0.5,7552
21,6.021,0.5,0.5,7552
22,6.062,0.5,0.5,7552
23,6.373,0.5,0.5,7552
24,3.156,0.5,0.5,7552
25,6.185,0.5,0.5,7552
26,3.169,0.5,0.5,7552
27,4.928,0.5,0.5,7552
28,5.672,0.5,0.5,7552
29,6.672,0.5,0.5,7552
30,5.824,0.5,0.5,7552
31,3.047,0.5,0.5,7552
32,6.884,0.5,0.5,7552
33,2.988,0.5,0.5,7552
34,5.525,0.5,0.5,7552
35,6.178,0.5,0.5,7552
36,4.684,0.5,0.5,7552
37,6.527,0.5,0.5,7552
38,6.172,0.5,0.5,7552
39,3.142,0.5,0.5,7556
40,6.151,0.5,0.5,7556
41,3.341,0.5,0.5,7556
42,6.072,0.5,0.5,7556
43,4.310,0.5,0.5,7556
44,4.254,0.5,0.5,7556
45,6.207,0.5,0.5,7556
46,6.172,0.5,0.5,7556
47,6.392,0.5,0.5,7556
48,6.152,0.5,0.5,7556
49,6.058,0.5,0.5,7556
50,6.478,0.5,0.5,7556
