iteration,handshake_ms,cpu_before,cpu_after,mem_kb
1,0.517,0.0,0.0,7484
2,0.375,0.3,0.3,7488
3,0.716,0.2,0.2,7492
4,0.357,0.3,0.3,7492
5,0.422,0.2,0.2,7492
6,0.613,0.3,0.3,7492
7,0.574,0.4,0.3,7492
8,0.700,0.4,0.4,7552
9,0.518,0.4,0.4,7552
10,0.557,0.4,0.4,7552
11,0.452,0.4,0.4,7552
12,1.081,0.4,0.4,7552
13,0.314,0.4,0.4,7552
14,0.602,0.5,0.5,7552
15,0.540,0.4,0.4,7552
16,0.571,0.4,0.4,7552
17,0.714,0.5,0.5,7552
18,0.467,0.5,0.5,7552
19,0.666,0.5,0.5,7552
20,0.506,0.5,0.5,7552
21,0.463,0.5,0.5,7552
22,0.413,0.5,0.5,7552
23,0.455,0.5,0.5,7552
24,0.648,0.5,0.5,7552
25,0.423,0.5,0.5,7552
26,0.502,0.5,0.5,7552
27,0.607,0.5,0.5,7552
28,0.451,0.5,0.5,7552
29,0.660,0.5,0.5,7552
30,0.641,0.5,0.5,7552
31,0.633,0.5,0.5,7552
32,0.606,0.5,0.5,7552
33,0.457,0.5,0.5,7552
34,0.471,0.5,0.5,7552
35,0.771,0.5,0.5,7552
36,0.495,0.5,0.5,7552
37,0.569,0.5,0.5,7552
38,0.701,0.5,0.5,7556
39,0.378,0.5,0.5,7556
40,0.352,0.5,0.5,7556
41,0.726,0.5,0.5,7556
42,0.386,0.5,0.5,7556
43,0.695,0.5,0.5,7556
44,0.627,0.5,0.5,7556
45,0.777,0.5,0.5,7556
46,0.676,0.5,0.5,7556
47,0.363,0.5,0.5,7556
48,0.646,0.5,0.5,7556
49,0.526,0.5,0.5,7556
50,0.651,0.5,0.5,7556
