iteration,packets_forwarded,packets_dropped,prop_count_drops,key_size_drops,val_size_drops,payload_drops,budget_drops,cpu_before,cpu_after,mem_kb
1,29,49,6,7,10,5,21,0.0,0.0,3064
2,29,53,13,4,8,5,23,0.0,0.0,3124
3,31,63,12,7,10,8,26,0.0,0.0,3240
4,28,43,15,4,2,6,16,0.0,0.0,3296
5,29,37,6,10,7,7,7,0.0,0.0,3356
6,28,36,10,2,4,7,13,0.0,0.0,3412
7,30,32,10,2,3,3,14,0.0,0.0,3468
8,34,44,8,9,9,3,15,0.0,0.0,3524
9,32,45,8,10,8,8,11,0.0,0.0,3584
10,29,26,6,2,3,3,12,0.0,0.0,3640
11,36,47,14,5,5,4,19,0.0,0.0,3696
12,33,39,5,3,8,6,17,0.0,0.0,3756
13,33,37,7,8,9,4,9,0.0,0.0,3812
14,29,53,9,8,7,4,25,0.0,0.0,3868
15,36,31,5,10,4,6,6,0.0,0.0,3928
16,32,34,8,5,8,3,10,0.0,0.1,3984
17,33,56,12,9,7,3,25,0.1,0.0,4044
18,34,34,10,2,3,7,12,0.0,0.0,4100
19,34,50,10,8,4,3,25,0.0,0.0,4156
20,30,40,12,4,2,3,19,0.0,0.0,4212
