iteration,normal_sent,vt1_sent,vt2_sent,vt3_sent,vt4_sent,vt5_sent,total_sent,cpu_before,cpu_after,mem_kb
1,8,15,4,7,5,38,77,0.0,0.3,8664
2,7,6,7,9,4,36,69,0.2,0.3,9264
3,9,5,10,7,6,30,67,0.3,0.3,9808
4,9,8,2,8,6,33,66,0.3,0.3,10652
5,7,12,10,4,6,34,73,0.3,0.3,11636
6,5,8,5,3,3,43,67,0.3,0.3,12304
7,9,8,2,3,5,31,58,0.3,0.3,12940
8,3,11,8,10,7,39,78,0.3,0.4,13916
9,4,7,5,4,5,32,57,0.3,0.3,14516
10,3,15,7,10,8,50,93,0.3,0.3,15832
11,8,9,4,5,7,37,70,0.3,0.4,16612
12,9,9,6,2,4,41,71,0.4,0.4,17376
13,10,12,5,5,7,45,84,0.4,0.4,18448
14,9,15,2,5,7,39,77,0.4,0.4,19704
15,6,8,5,5,5,30,59,0.4,0.4,20396
16,5,13,6,3,6,39,72,0.4,0.4,21448
17,4,6,3,4,3,30,50,0.4,0.4,21988
18,4,5,6,10,8,38,71,0.4,0.4,22560
19,9,11,3,2,4,38,67,0.4,0.4,23496
20,5,7,6,8,3,43,72,0.4,0.4,24160
